Date;once;tres_diez;uno_tres;total;Organic traffic;dominios;pages
23/07/2020;6;0;0;6;0.081262;1;1
24/07/2020;8;0;0;8;0.081266;1;1
25/07/2020;12;0;0;12;0.214237;1;1
26/07/2020;13;0;0;13;0.214235;2;2
27/07/2020;19;0;0;19;0.214394;2;2
28/07/2020;25;0;0;25;0.163365;2;2
29/07/2020;61;0;0;61;0.194237;2;2
30/07/2020;217;0;0;217;0.47272;2;2
31/07/2020;282;1;0;283;1.180947;2;2
1/08/2020;300;1;0;301;0.956163;2;2
2/08/2020;358;1;0;359;0.994414;2;2
3/08/2020;374;1;0;375;0.996802;2;2
4/08/2020;367;1;0;368;0.845779;2;2
5/08/2020;369;1;0;370;0.877893;2;2
6/08/2020;353;1;0;354;0.881728;2;2
7/08/2020;342;1;0;343;0.99061;2;2
8/08/2020;338;1;0;339;0.972895;2;2
9/08/2020;342;1;0;343;1.021723;2;2
10/08/2020;345;1;0;346;1.098444;2;2
11/08/2020;351;1;0;352;1.213592;2;2
12/08/2020;363;1;0;364;2.355677;2;2
13/08/2020;375;1;0;376;3.093525;3;6
14/08/2020;424;1;0;425;3.887636;4;17
15/08/2020;433;1;0;434;6.129179;5;43
16/08/2020;443;1;0;444;6.305592;7;72
17/08/2020;454;1;1;456;7.154651;7;82
18/08/2020;464;1;1;466;8.358041;7;86
19/08/2020;472;1;1;474;8.239679;8;94
20/08/2020;483;1;1;485;9.004839;8;100
21/08/2020;481;1;1;483;8.833321;8;100
22/08/2020;545;1;1;547;8.107299;8;97
23/08/2020;765;2;1;768;19.356072;8;98
24/08/2020;702;2;1;705;19.576265;8;97
25/08/2020;640;2;1;643;22.694966;8;100
26/08/2020;621;1;1;623;24.804025;8;98
27/08/2020;626;1;1;628;27.68188;8;99
28/08/2020;596;1;1;598;29.647109;8;100
29/08/2020;595;1;1;597;24.914795;9;106
30/08/2020;574;1;1;576;25.302481;9;119
31/08/2020;572;1;1;574;31.139666;9;116
1/09/2020;571;1;1;573;31.149483;9;114
2/09/2020;571;1;1;573;31.9263;9;111
3/09/2020;568;1;1;570;32.044479;9;110
4/09/2020;552;1;1;554;37.046603;9;109
5/09/2020;545;1;1;547;38.104383;9;106
6/09/2020;538;1;2;541;40.025732;9;104
7/09/2020;536;1;2;539;40.722375;9;102
8/09/2020;535;1;2;538;41.576458;9;98
9/09/2020;536;1;2;539;41.226301;9;96
10/09/2020;538;1;2;541;39.68307;9;96
11/09/2020;537;1;2;540;39.877055;9;94
12/09/2020;539;1;2;542;39.861649;9;93
13/09/2020;529;1;2;532;39.594802;9;92
14/09/2020;531;1;2;534;47.013339;9;93
15/09/2020;518;1;2;521;46.57566;9;91
16/09/2020;496;1;2;499;39.155834;9;90
17/09/2020;502;1;4;507;77.53802;9;90
18/09/2020;507;1;5;513;82.021025;9;90
19/09/2020;522;1;5;528;86.534283;9;90
20/09/2020;546;3;6;555;106.169661;9;92
21/09/2020;549;3;6;558;108.666765;9;92
22/09/2020;551;3;6;560;114.247647;9;92
23/09/2020;552;3;6;561;147.759325;9;93
24/09/2020;556;4;6;566;169.890616;9;93
25/09/2020;569;6;10;585;199.106683;9;91
26/09/2020;580;10;10;600;212.319925;9;90
27/09/2020;599;12;10;621;240.934131;9;84
28/09/2020;602;12;10;624;235.111516;9;83
